Date,Open,High,Low,Close,Volume,OpenInterest
2021-10-25,428.21,429.73,426.43,429.4,45214500,0
2021-10-26,430.96,432.18,429.41,429.79,56075100,0
2021-10-27,430.25,430.92,427.81,427.89,72438000,0
2021-10-28,429.32,432.09,429.31,432.02,51437900,0
2021-10-29,429.71,433.18,429.41,432.89,70162400,0
2021-11-01,433.88,434.26,431.9,433.64,48433600,0
2021-11-02,433.81,435.7,433.67,435.39,48908400,0
2021-11-03,434.82,438.45,434.38,438.05,52509800,0
2021-11-04,438.65,440.2,438.3,440.11,52847100,0
2021-11-05,442.35,443.64,440.12,441.64,66390600,0
2021-11-08,442.74,443.24,441.33,442.02,50405200,0
2021-11-09,442.38,442.62,439.14,440.56,51149100,0
2021-11-10,438.86,440.56,435.52,437.01,69429700,0
2021-11-11,438.51,438.59,437.13,437.15,34848500,0
2021-11-12,438.43,441.01,437.47,440.45,53466700,0
2021-11-15,441.74,441.9,439.47,440.6,46980500,0
2021-11-16,440.34,443.49,440.26,442.35,48857500,0
2021-11-17,442.08,442.26,440.65,441.27,47858300,0
2021-11-18,442.31,443.04,439.58,442.77,50625600,0
2021-11-19,442.66,443.91,441.61,441.98,57315600,0
2021-11-22,443.86,446.36,440.53,440.74,72762000,0
2021-11-23,440.41,442.18,437.79,441.32,73206500,0
2021-11-24,439.31,442.62,438.49,442.5,61858800,0
2021-11-26,435.81,437.28,431.5,432.63,112669600,0
2021-11-29,437.44,439.78,435.23,437.94,86268800,0
2021-11-30,435.48,437.4,429.17,429.41,148559600,0
2021-12-01,435.15,438.0,424.45,424.64,131939200,0
2021-12-02,424.86,432.72,424.47,431.15,127637800,0
2021-12-03,432.82,433.88,423.16,427.4,137331600,0
2021-12-06,429.95,434.34,427.53,432.46,98977500,0
2021-12-07,437.76,441.97,432.33,441.4,95484700,0
2021-12-08,441.8,443.03,440.04,442.57,72238800,0
2021-12-09,441.28,442.68,439.39,439.59,61272600,0
2021-12-10,442.3,443.87,439.74,443.72,77159800,0
2021-12-13,443.2,443.55,439.51,439.79,87724700,0
2021-12-14,436.51,439.01,433.84,436.77,97264100,0
2021-12-15,436.82,443.84,434.3,443.59,116899300,0
2021-12-16,445.45,445.73,438.12,439.68,116568600,0
2021-12-17,436.59,439.61,433.29,435.0,135511600,0
2021-12-20,429.9,430.77,426.74,430.37,107134800,0
2021-12-21,433.81,438.16,431.63,438.02,69806300,0
2021-12-22,437.76,442.51,437.56,442.4,58890200,0
2021-12-23,443.4,446.65,443.3,445.15,56439700,0
2021-12-27,446.53,451.5,446.48,451.45,56808600,0
2021-12-28,451.88,452.92,450.31,451.08,47274600,0
2021-12-29,451.18,452.68,450.18,451.66,54503000,0
2021-12-30,452.08,453.1,449.95,450.41,55329000,0
2021-12-31,449.92,451.07,449.0,449.27,65237400,0
2022-01-03,450.54,452.01,448.22,451.88,72668200,0
2022-01-04,453.3,454.02,449.86,451.72,71178700,0
2022-01-05,451.35,452.13,442.96,443.05,104538900,0
2022-01-06,442.59,445.36,440.26,442.63,86858900,0
2022-01-07,442.64,443.83,439.52,440.88,85111600,0
2022-01-10,437.68,440.55,431.91,440.33,119362000,0
2022-01-11,440.07,444.44,437.06,444.35,74303100,0
2022-01-12,446.09,447.61,443.58,445.55,67605400,0
2022-01-13,446.65,447.31,438.38,439.41,91173100,0
2022-01-14,436.25,439.94,435.03,439.59,95890900,0
2022-01-18,434.88,435.09,430.69,431.8,109709100,0
2022-01-19,433.35,434.75,427.04,427.32,109357600,0
2022-01-20,429.21,433.93,420.46,422.59,122379700,0
2022-01-21,421.46,423.83,414.27,414.29,202271200,0
2022-01-24,408.67,416.56,398.01,416.05,251783900,0
2022-01-25,409.64,415.94,404.05,410.97,167997300,0
2022-01-26,416.89,420.03,405.67,409.94,186391100,0
2022-01-27,414.56,417.71,406.23,407.92,149878300,0
2022-01-28,409.28,418.1,404.68,418.05,164457400,0
2022-01-31,417.38,425.93,416.02,425.58,152251400,0
2022-02-01,426.31,429.1,422.77,428.45,123155400,0
2022-02-02,430.87,433.34,428.55,432.62,117361000,0
2022-02-03,426.56,428.47,421.61,422.45,118024400,0
2022-02-04,422.21,428.29,419.83,424.43,118454400,0
2022-02-07,425.2,426.6,421.74,423.07,84472900,0
2022-02-08,422.57,427.48,421.14,426.55,81012000,0
2022-02-09,430.6,433.12,430.4,432.8,92589900,0
2022-02-10,426.93,432.96,423.02,425.02,140103700,0
2022-02-11,425.11,427.19,415.2,416.64,153214600,0
2022-02-14,416.13,417.72,411.8,415.28,123006300,0
2022-02-15,419.73,422.14,419.21,421.97,88482700,0
2022-02-16,419.92,423.83,418.04,422.45,84863600,0
2022-02-17,419.25,422.42,412.82,413.42,102259100,0
2022-02-18,413.68,414.94,408.47,410.75,132642900,0
2022-02-22,408.53,411.95,402.83,406.34,124391800,0
2022-02-23,409.26,409.83,398.56,399.13,132578000,0
2022-02-24,388.79,405.57,388.43,405.14,213942900,0
2022-02-25,406.38,414.16,404.72,414.08,121804500,0
2022-02-28,408.67,414.5,407.41,413.02,145615000,0
2022-03-01,411.51,413.53,404.01,406.73,137785900,0
2022-03-02,408.99,415.94,408.23,414.21,117726500,0
2022-03-03,416.65,417.25,410.34,412.15,105501700,0
2022-03-04,408.4,409.93,404.74,408.8,113978200,0
2022-03-07,408.21,408.92,396.68,396.75,137896600,0
2022-03-08,396.93,404.11,392.67,393.74,164772700,0
2022-03-09,402.15,406.28,399.95,404.3,116990800,0
2022-03-10,399.67,403.37,397.7,402.47,93972700,0
2022-03-11,404.97,405.58,396.84,397.35,95636300,0
2022-03-14,398.13,401.59,393.3,394.45,95729200,0
2022-03-15,397.07,403.76,395.79,403.12,106219100,0
2022-03-16,406.64,412.12,401.83,412.06,144954800,0
2022-03-17,410.14,417.22,409.76,417.22,102676900,0
2022-03-18,415.6,422.11,414.86,421.79,106345500,0
2022-03-21,421.62,423.63,418.14,421.66,88349800,0
2022-03-22,423.06,427.54,423.06,426.6,74650400,0
2022-03-23,424.05,425.55,421.02,421.1,79426100,0
2022-03-24,423.13,427.46,422.01,427.45,64736900,0
2022-03-25,428.09,429.81,425.5,429.54,77101300,0
2022-03-28,428.94,432.59,427.04,432.59,68529800,0
2022-03-29,436.49,438.44,433.8,437.95,86581500,0
2022-03-30,436.8,437.61,433.13,435.24,79666900,0
2022-03-31,434.47,435.3,428.09,428.54,121699900,0
2022-04-01,430.13,430.27,426.17,429.76,89048800,0
2022-04-04,429.96,433.54,429.13,433.44,59601000,0
2022-04-05,431.94,434.42,426.82,427.96,74214500,0
2022-04-06,424.04,425.97,420.79,423.68,106898000,0
2022-04-07,422.8,427.64,420.85,425.82,78097200,0
2022-04-08,425.06,427.58,423.13,424.68,79272700,0
2022-04-11,421.4,422.24,416.92,417.42,89770500,0
2022-04-12,420.42,422.95,414.32,415.88,84363600,0
2022-04-13,415.63,421.4,415.45,420.64,74070400,0
2022-04-14,420.87,421.99,415.3,415.4,97869500,0
2022-04-18,414.47,417.26,413.33,415.57,66002500,0
2022-04-19,415.47,423.0,415.3,422.28,77821000,0
2022-04-20,424.06,424.68,420.8,421.97,65224400,0
2022-04-21,425.6,427.0,414.75,415.66,85417300,0
2022-04-22,414.57,415.68,403.68,404.25,132471800,0
2022-04-25,402.0,406.77,397.42,406.6,119647700,0
2022-04-26,404.05,404.25,394.79,394.82,103996300,0
2022-04-27,395.9,401.29,393.79,395.93,122030000,0
2022-04-28,400.69,407.67,396.24,405.93,105449100,0
2022-04-29,401.93,404.09,390.18,390.93,145491100,0
2022-05-02,391.0,394.65,384.31,393.28,158312500,0
2022-05-03,393.79,397.51,392.22,395.09,100028200,0
2022-05-04,395.75,407.69,392.55,407.12,144247900,0
2022-05-05,402.84,403.26,388.5,392.65,172929100,0
2022-05-06,390.08,393.59,384.98,390.3,151770800,0
2022-05-09,384.38,385.63,376.22,377.81,155586100,0
2022-05-10,383.8,385.31,374.63,378.68,132497200,0
2022-05-11,377.71,383.38,371.91,372.66,142361000,0
2022-05-12,369.46,375.56,365.45,372.27,125090800,0
2022-05-13,376.42,382.56,375.38,381.18,104174400,0
2022-05-16,379.52,383.31,377.27,379.63,78622400,0
2022-05-17,385.74,387.67,381.99,387.44,83029700,0
2022-05-18,382.86,383.15,370.58,371.82,117674500,0
2022-05-19,368.75,373.98,367.31,369.54,98510700,0
