Date,Open,High,Low,Close,Volume,OpenInterest
2021-05-04,240.82,241.05,235.82,237.77,32756100,0
2021-05-05,238.99,239.41,235.88,236.5,21901300,0
2021-05-06,236.48,239.76,234.79,239.63,26491100,0
2021-05-07,241.95,244.02,241.01,242.25,27032900,0
2021-05-10,240.72,241.55,237.13,237.18,29299900,0
2021-05-11,234.66,236.63,232.76,236.27,33641600,0
2021-05-12,232.38,234.5,228.44,229.33,36684400,0
2021-05-13,232.02,235.67,231.66,233.2,29624300,0
2021-05-14,235.65,239.1,235.56,238.11,23901100,0
2021-05-17,236.58,236.62,233.67,235.26,24970200,0
2021-05-18,236.31,236.45,233.08,233.25,20168000,0
2021-05-19,230.16,233.93,229.48,233.83,25739800,0
2021-05-20,234.63,238.47,234.54,237.06,21800700,0
2021-05-21,238.11,238.84,235.38,235.8,21863100,0
2021-05-24,238.32,241.56,238.05,241.19,21411500,0
2021-05-25,242.15,243.09,241.23,242.1,17704300,0
2021-05-26,241.82,243.27,241.17,241.88,17771600,0
2021-05-27,241.57,241.87,239.72,239.78,24426200,0
2021-05-28,241.41,242.44,240.02,240.14,18270200,0
2021-06-01,241.63,241.68,237.52,237.94,23213300,0
2021-06-02,238.65,239.74,236.44,237.85,19406700,0
2021-06-03,235.85,236.92,233.71,236.32,25307700,0
2021-06-04,238.29,242.03,238.05,241.2,25281100,0
2021-06-07,240.42,244.38,240.26,244.11,23079200,0
2021-06-08,245.41,246.22,242.86,242.92,22455000,0
2021-06-09,244.11,245.76,243.53,243.9,17937600,0
2021-06-10,244.57,247.62,243.97,247.41,24563600,0
2021-06-11,248.13,248.61,246.8,248.03,18999700,0
2021-06-14,248.04,250.01,246.98,249.96,19150500,0
2021-06-15,249.84,250.05,247.83,248.48,18038900,0
2021-06-16,249.48,250.62,244.69,247.54,27220000,0
2021-06-17,246.28,251.74,246.22,250.93,27565500,0
2021-06-18,249.71,252.27,248.86,249.51,37202200,0
2021-06-21,249.89,253.45,248.06,252.59,26696100,0
2021-06-22,252.68,255.63,252.37,255.36,24694100,0
2021-06-23,255.82,256.63,254.32,255.13,19518700,0
2021-06-24,255.99,257.61,255.32,256.5,21446900,0
2021-06-25,256.05,257.03,254.64,254.89,25611100,0
2021-06-28,256.01,258.62,255.75,258.45,19590000,0
2021-06-29,258.59,261.27,257.74,261.03,19937800,0
2021-06-30,260.34,260.99,259.29,260.54,21656500,0
2021-07-01,259.3,261.45,259.29,261.22,16725300,0
2021-07-02,262.39,267.37,262.08,267.04,26458000,0
2021-07-06,267.4,268.69,263.81,267.05,31565600,0
2021-07-07,268.72,269.96,266.56,269.23,23260000,0
2021-07-08,266.32,268.08,264.36,266.82,24618600,0
2021-07-09,265.18,267.42,264.8,267.32,23916700,0
2021-07-12,268.49,269.08,266.01,266.72,18931700,0
2021-07-13,266.91,272.04,266.79,270.24,26120100,0
2021-07-14,271.56,272.82,269.83,271.71,23113700,0
2021-07-15,271.22,271.71,269.13,270.29,22604200,0
2021-07-16,271.29,273.24,268.78,270.02,26186800,0
2021-07-19,268.27,269.65,263.96,266.42,32935600,0
2021-07-20,267.4,270.23,265.7,268.64,26259700,0
2021-07-21,268.24,270.76,266.69,270.64,24364300,0
2021-07-22,272.99,275.47,272.59,275.2,23384100,0
2021-07-23,276.39,278.91,275.55,278.6,22768100,0
2021-07-26,277.95,278.62,275.68,278.0,23176100,0
2021-07-27,278.37,278.51,272.13,275.59,33604100,0
2021-07-28,277.94,279.06,272.98,275.28,33566900,0
2021-07-29,275.3,277.59,275.14,275.55,18168300,0
2021-07-30,274.27,275.7,273.06,274.02,20944800,0
2021-08-02,275.41,275.81,272.89,273.93,16267400,0
2021-08-03,274.51,276.25,273.14,276.14,17879000,0
2021-08-04,275.28,276.6,273.77,275.56,16191300,0
2021-08-05,275.91,278.56,275.16,278.45,13900200,0
2021-08-06,277.48,278.43,276.63,278.4,16589300,0
2021-08-09,278.67,280.41,276.81,277.31,16117600,0
2021-08-10,277.76,278.19,274.3,275.49,18616600,0
2021-08-11,276.23,277.63,274.93,275.98,13955900,0
2021-08-12,275.67,278.89,275.39,278.73,14561300,0
2021-08-13,278.41,281.7,278.24,281.66,18249000,0
2021-08-16,281.98,283.55,278.93,283.34,22507600,0
2021-08-17,281.21,282.21,279.95,281.88,20075300,0
2021-08-18,281.41,284.09,279.71,280.15,21813000,0
2021-08-19,278.19,286.65,278.14,285.97,29850500,0
2021-08-20,288.82,294.71,287.22,293.29,40817600,0
2021-08-23,292.22,294.29,290.87,293.57,22830200,0
2021-08-24,293.92,294.53,291.01,291.61,18175800,0
2021-08-25,293.23,293.51,289.49,291.02,20006100,0
2021-08-26,290.04,291.43,288.07,288.21,17666100,0
2021-08-27,288.11,289.92,286.03,288.82,22605700,0
2021-08-30,290.16,293.15,290.11,292.54,16348100,0
2021-08-31,293.34,293.42,290.53,290.9,26285300,0
2021-09-01,291.85,294.09,290.52,290.85,18983800,0
2021-09-02,291.2,292.32,289.26,290.19,16285600,0
2021-09-03,290.04,291.59,289.34,290.18,14747900,0
2021-09-07,290.06,290.14,287.35,289.26,17180400,0
2021-09-08,288.87,289.67,286.65,289.29,15046800,0
2021-09-09,289.88,291.15,286.19,286.43,19927000,0
2021-09-10,287.56,289.01,284.63,284.95,19633400,0
2021-09-13,286.72,287.68,283.38,286.18,23652900,0
2021-09-14,288.66,290.42,287.25,288.88,21853400,0
2021-09-15,292.23,294.21,290.84,293.73,28356300,0
2021-09-16,292.71,294.2,289.82,294.11,19550800,0
2021-09-17,293.1,293.42,288.63,288.96,41372500,0
2021-09-20,285.55,287.85,278.99,283.59,38278700,0
2021-09-21,284.93,286.71,283.37,284.07,22364100,0
2021-09-22,285.93,289.3,283.79,287.72,26626300,0
2021-09-23,287.98,289.95,286.7,288.66,18604600,0
2021-09-24,287.38,288.89,286.13,288.46,14999000,0
2021-09-27,285.37,285.68,282.28,283.47,23571700,0
2021-09-28,279.26,280.2,272.46,273.2,43186200,0
2021-09-29,274.73,276.34,272.71,273.67,26353700,0
2021-09-30,275.31,277.36,271.37,271.66,32343600,0
2021-10-01,271.86,279.43,271.06,278.58,30086300,0
2021-10-04,276.94,277.28,270.05,272.81,31350700,0
2021-10-05,273.72,279.83,273.72,278.25,24993000,0
2021-10-06,275.38,282.95,275.12,282.45,28002600,0
2021-10-07,284.44,285.85,283.23,284.12,20430500,0
2021-10-08,285.44,285.85,283.07,284.12,17685700,0
2021-10-11,282.26,287.13,282.1,283.52,19298600,0
2021-10-12,284.59,284.69,281.71,282.22,17974100,0
2021-10-13,284.18,286.46,282.81,285.53,23416300,0
2021-10-14,288.32,292.24,286.99,291.73,27262900,0
2021-10-15,291.34,293.37,289.59,293.14,25384800,0
2021-10-18,292.53,297.0,291.68,296.11,22729300,0
2021-10-19,297.13,298.05,296.04,297.02,17682100,0
2021-10-20,297.96,298.43,294.97,296.23,16537100,0
2021-10-21,295.99,299.7,295.21,299.45,16918100,0
2021-10-22,299.11,299.77,296.6,297.91,17449300,0
2021-10-25,298.1,298.14,295.31,296.92,17554500,0
2021-10-26,299.68,301.03,297.37,298.83,28107300,0
2021-10-27,304.5,314.24,304.5,311.41,52588700,0
2021-10-28,312.53,313.05,309.67,312.55,26297900,0
2021-10-29,312.34,319.92,312.12,319.55,34766000,0
2021-11-01,319.3,319.43,314.5,317.39,27073200,0
2021-11-02,318.29,321.32,317.99,321.01,26487100,0
2021-11-03,321.75,322.72,318.62,321.85,21500100,0
2021-11-04,320.78,324.3,317.52,324.2,23992200,0
2021-11-05,326.19,326.46,322.25,323.83,22570100,0
2021-11-08,325.03,325.37,322.27,324.73,20897000,0
2021-11-09,324.84,326.4,322.36,323.73,21307400,0
2021-11-10,322.4,322.46,317.92,318.76,25500900,0
2021-11-11,319.2,321.63,318.48,320.34,16849800,0
2021-11-12,321.77,324.96,321.65,324.47,23831000,0
2021-11-15,325.26,325.59,321.88,323.84,16723000,0
2021-11-16,323.47,328.28,323.3,327.16,20886800,0
2021-11-17,327.21,330.34,326.3,327.38,19053400,0
2021-11-18,326.47,330.59,325.45,329.46,22463500,0
2021-11-19,330.78,333.15,330.35,331.23,21963400,0
2021-11-22,332.69,337.56,327.79,328.06,31031100,0
2021-11-23,325.38,327.7,322.01,325.99,30427600,0
2021-11-24,324.64,326.45,322.35,326.21,21661300,0
2021-11-26,322.77,326.23,316.76,318.27,24217200,0
2021-11-29,323.34,327.29,323.15,324.98,28563500,0
2021-11-30,323.71,326.09,317.6,319.14,42885600,0
2021-12-01,323.53,327.53,317.99,318.65,33337600,0
2021-12-02,318.86,321.94,316.45,318.08,30766000,0
2021-12-03,320.5,321.18,307.02,311.83,41779300,0
2021-12-06,312.73,316.11,308.18,314.9,30032600,0
2021-12-07,320.16,324.17,318.67,323.32,31021900,0
2021-12-08,323.7,323.88,319.35,323.37,24761000,0
2021-12-09,322.83,324.84,320.62,321.57,22214200,0
2021-12-10,323.38,331.13,323.2,330.68,38095700,0
2021-12-13,328.89,331.89,327.34,327.65,28899400,0
2021-12-14,321.68,323.05,312.89,316.97,44438700,0
2021-12-15,317.23,323.59,313.27,323.06,35381100,0
2021-12-16,324.09,325.1,311.84,313.65,35034800,0
2021-12-17,309.77,313.67,306.27,312.59,47750300,0
2021-12-20,308.97,311.62,306.58,308.83,28326500,0
2021-12-21,312.1,316.38,308.73,315.96,24740600,0
2021-12-22,316.93,322.06,314.47,321.66,24831500,0
2021-12-23,321.23,324.74,321.21,323.1,19617800,0
2021-12-27,323.85,330.62,323.82,330.59,19947000,0
2021-12-28,331.27,331.91,328.54,329.44,15661500,0
2021-12-29,329.48,332.38,327.92,330.11,15042000,0
2021-12-30,330.07,331.25,327.09,327.57,15994500,0
2021-12-31,326.79,327.61,324.22,324.68,18000800,0
2022-01-03,323.74,326.3,318.36,323.16,28865100,0
2022-01-04,323.24,323.6,314.83,317.62,32674300,0
2022-01-05,314.58,314.78,305.04,305.43,40054300,0
2022-01-06,302.31,307.67,300.71,303.01,39646100,0
2022-01-07,303.27,305.54,299.35,303.17,32720000,0
2022-01-10,298.78,303.82,294.14,303.39,44289500,0
2022-01-11,302.53,305.65,299.16,304.08,29386800,0
2022-01-12,308.6,312.21,306.1,307.25,34372200,0
2022-01-13,309.38,309.77,293.48,294.25,45366000,0
2022-01-14,293.72,300.06,293.23,299.46,39846400,0
2022-01-18,293.54,299.07,291.29,292.17,42333200,0
2022-01-19,295.69,303.04,292.22,292.83,45933900,0
2022-01-20,298.37,300.86,290.71,291.16,35380700,0
2022-01-21,292.21,293.58,285.38,285.78,57984400,0
2022-01-24,282.08,286.82,266.49,286.11,85731500,0
2022-01-25,281.43,284.78,275.3,278.5,72848600,0
2022-01-26,297.33,297.82,282.89,286.44,90428900,0
2022-01-27,292.18,296.66,287.62,289.46,53481300,0
2022-01-28,289.84,297.8,284.26,297.59,49743700,0
2022-01-31,298.25,301.57,295.76,300.21,46444500,0
2022-02-01,299.66,299.88,294.57,298.07,40950400,0
2022-02-02,298.91,304.21,298.19,302.61,36636000,0
2022-02-03,298.78,300.46,289.58,290.82,43730000,0
2022-02-04,289.82,298.11,289.58,295.35,35096500,0
2022-02-07,295.57,297.18,289.52,290.53,28533300,0
2022-02-08,290.82,294.98,289.57,294.02,32421200,0
2022-02-09,299.14,301.13,296.75,300.44,31284700,0
2022-02-10,293.51,298.42,290.29,291.91,45386200,0
2022-02-11,292.69,293.76,284.03,284.83,39175600,0
2022-02-14,283.6,286.49,281.26,284.79,36359500,0
2022-02-15,289.62,290.39,286.74,290.07,27058300,0
2022-02-16,288.64,291.05,284.1,289.73,29982100,0
2022-02-17,286.69,287.12,280.54,281.25,32461600,0
2022-02-18,283.49,284.27,276.97,278.54,34264000,0
2022-02-22,275.7,282.03,275.22,278.33,41736100,0
2022-02-23,280.71,282.18,270.96,271.13,37811200,0
2022-02-24,263.62,285.53,262.66,284.98,56989700,0
2022-02-25,285.51,287.92,282.14,287.61,32546700,0
2022-02-28,284.71,289.38,283.44,289.04,34627500,0
2022-03-01,286.73,290.18,282.62,285.33,31217800,0
2022-03-02,285.72,291.63,284.12,290.4,31873000,0
2022-03-03,293.01,293.24,284.46,286.27,27314500,0
2022-03-04,284.69,286.01,277.8,280.4,32356500,0
